epoch,learning_rate,loss,top1,top5,val_loss,val_top1,val_top5
0,9.999999747378752e-05,2.5889410972595215,0.47264769673347473,0.7363238334655762,1.9208390712738037,0.6151866316795349,0.8622908592224121
1,9.999999747378752e-05,2.4615390300750732,0.5030087232589722,0.7688730955123901,1.8794459104537964,0.638352632522583,0.8803088665008545
2,9.999999747378752e-05,2.3984458446502686,0.5320022106170654,0.7839168310165405,1.8288753032684326,0.6537966728210449,0.876447856426239
3,9.999999747378752e-05,2.3562304973602295,0.5500547289848328,0.8011487722396851,1.7898372411727905,0.6666666865348816,0.8751608729362488
4,9.999999747378752e-05,2.2895798683166504,0.5678337216377258,0.8123632669448853,1.7807977199554443,0.6705276966094971,0.8854568600654602
5,9.999999747378752e-05,2.257688522338867,0.5735777020454407,0.8342450857162476,1.7653394937515259,0.6731016635894775,0.8957529067993164
6,9.999999747378752e-05,2.1769392490386963,0.6053063273429871,0.8509299755096436,1.756809115409851,0.6666666865348816,0.9047619104385376
7,9.999999747378752e-05,2.1307053565979004,0.625,0.8509299755096436,1.7301397323608398,0.676962673664093,0.9124839305877686
8,9.999999747378752e-05,2.103358507156372,0.6394967436790466,0.8580415844917297,1.7155370712280273,0.6833977103233337,0.9137709140777588
9,9.999999747378752e-05,2.0578763484954834,0.6553610563278198,0.8684354424476624,1.7158267498016357,0.6962677240371704,0.9099099040031433
10,9.999999747378752e-05,2.0293350219726562,0.6684901714324951,0.8719912767410278,1.7059074640274048,0.6988416910171509,0.9111968874931335
11,9.999999747378752e-05,2.0057032108306885,0.6668490171432495,0.8840262293815613,1.7021043300628662,0.6911196708679199,0.9073359370231628
12,9.999999747378752e-05,1.9662268161773682,0.6942012906074524,0.8977023959159851,1.6928044557571411,0.6975547075271606,0.915057897567749
13,9.999999747378752e-05,1.9404314756393433,0.6925601959228516,0.9023522734642029,1.6753113269805908,0.7117117047309875,0.9099099040031433
14,9.999999747378752e-05,1.8978253602981567,0.720459520816803,0.9018052220344543,1.6965149641036987,0.7027027010917664,0.9047619104385376
15,9.999999747378752e-05,1.8763415813446045,0.7152625918388367,0.908369779586792,1.6841708421707153,0.7014157176017761,0.9086229205131531
16,9.999999747378752e-05,1.863045334815979,0.7251093983650208,0.9204047918319702,1.6693553924560547,0.715572714805603,0.9086229205131531
17,9.999999747378752e-05,1.823062539100647,0.7565645575523376,0.9239606261253357,1.66913640499115,0.7065637111663818,0.9086229205131531
18,9.999999747378752e-05,1.8022130727767944,0.7513676285743713,0.9258752465248108,1.6955442428588867,0.7052767276763916,0.9124839305877686
19,9.999999747378752e-05,1.7769583463668823,0.7557439804077148,0.9272428750991821,1.6739915609359741,0.7129986882209778,0.9124839305877686
20,9.999999747378752e-05,1.7629461288452148,0.7636761665344238,0.9373632669448853,1.6830408573150635,0.6988416910171509,0.9111968874931335
21,4.999999873689376e-05,1.7232084274291992,0.7765317559242249,0.932986855506897,1.649465799331665,0.7091377377510071,0.9137709140777588
22,4.999999873689376e-05,1.7013171911239624,0.7858315110206604,0.942013144493103,1.6530722379684448,0.7104247212409973,0.915057897567749
23,4.999999873689376e-05,1.6987838745117188,0.7847374081611633,0.9436542391777039,1.6526747941970825,0.7078506946563721,0.9124839305877686
24,4.999999873689376e-05,1.6720083951950073,0.7948577404022217,0.949671745300293,1.643203854560852,0.7078506946563721,0.916344940662384
